CEDS2020,GAINS_EMF,Fuel,FuelCEDS
Agriculture,Unattributed,process,process
Agricultural Waste Burning,Unattributed,process,process
Energy,Losses_Coal,total-coal,process
Energy,Losses_Distribution_Use,process,process
Energy,Losses_Prod_Conventional_Gas,liquid-fuel-plus-natural-gas,process
Energy,Losses_Prod_Oil,liquid-fuel-plus-natural-gas,process
Energy,Losses_Prod_Shale_Gas,liquid-fuel-plus-natural-gas,process
Energy,Power_Gen_Bio_Trad_New,solid-biofuel,solid-biofuel
Energy,Power_Gen_Bio_Trad_Old,solid-biofuel,solid-biofuel
Energy,Power_Gen_Coal_IGCC_CCS,total-coal,total-coal
Energy,Power_Gen_Coal_New,total-coal,total-coal
Energy,Power_Gen_Coal_Old,total-coal,total-coal
Energy,Power_Gen_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Energy,Power_Gen_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Energy,Power_Gen_NatGas,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Energy,Transformations_Coal,total-coal,process
Energy,Transformations_HLF,liquid-fuel-plus-natural-gas,process
Energy,Transformations_HLF_Refinery,liquid-fuel-plus-natural-gas,process
Energy,Transformations_LLF,liquid-fuel-plus-natural-gas,process
Energy,Transformations_NatGas,liquid-fuel-plus-natural-gas,process
Industry,AACID,process,process
Industry,CEMENT,process,process
Industry,CHEM,process,process
Industry,CHEMBULK,process,process
Industry,CUSM,process,process
Industry,End_Use_Industry_Bio_Trad,solid-biofuel,solid-biofuel
Industry,End_Use_Industry_Coal,total-coal,total-coal
Industry,End_Use_Industry_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Industry,End_Use_Industry_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Industry,End_Use_Industry_NatGas,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Industry,NACID,process,process
Industry,PAPER,process,process
Industry,STEEL,process,process
Commercial,End_Use_Services_Bio_Trad_Heat,solid-biofuel,solid-biofuel
Commercial,End_Use_Services_Coal_Heat,total-coal,total-coal
Residential,End_Use_Residential_Bio_Mod,solid-biofuel,solid-biofuel
Residential,End_Use_Residential_Bio_Trad_Cook,solid-biofuel,solid-biofuel
Residential,End_Use_Residential_Bio_Trad_Heat,solid-biofuel,solid-biofuel
Residential,End_Use_Residential_Coal_Cook,total-coal,total-coal
Residential,End_Use_Residential_Coal_Heat,total-coal,total-coal
Residential,End_Use_Residential_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Residential,End_Use_Residential_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Residential,End_Use_Residential_NatGas,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Other,End_Use_Transport_AGR_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Other,End_Use_Transport_OFF_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Other,End_Use_Transport_OFF_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Shipping,End_Use_Transport_OFF_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Shipping,End_Use_Transport_NatGas,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Solvents,CHEM,process,process
Solvents,CHEMBULK,process,process
Transport,End_Use_Transport_HDT_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Transport,End_Use_Transport_HDT_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Transport,End_Use_Transport_LDT_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Transport,End_Use_Transport_LDT_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Transport,End_Use_Transport_MC_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Transport,End_Use_Transport_NatGas,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Non-road transport,End_Use_Transport_Coal,total-coal,total-coal
Non-road transport,End_Use_Transport_OFF_LLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Non-road transport,End_Use_Transport_OFF_HLF,liquid-fuel-plus-natural-gas,liquid-fuel-plus-natural-gas
Waste,Waste_Solid_Industrial,process,process
Waste,Waste_Solid_Municipal,process,process
Waste,Waste_Water_Industrial,process,process
Waste,Waste_Water_Municipal,process,process
