Activities,Emissions
AACID-Mt,AACID
CEMENT-Mt,CEMENT
CHEM-Mt,CHEM
CHEMBULK-Mt,CHEMBULK
CUSM-Mt,CUSM
End_Use_Industry_Bio_Trad-PJ,End_Use_Industry_Bio_Trad
End_Use_Industry_Coal-PJ,End_Use_Industry_Coal
End_Use_Industry_HLF-PJ,End_Use_Industry_HLF
End_Use_Industry_LLF-PJ,End_Use_Industry_LLF
End_Use_Industry_NatGas-PJ,End_Use_Industry_NatGas
End_Use_Residential_Bio_Mod-PJ,End_Use_Residential_Bio_Mod
End_Use_Residential_Bio_Trad-PJ,End_Use_Residential_Bio_Trad_Cook
End_Use_Residential_Bio_Trad-PJ,End_Use_Residential_Bio_Trad_Heat
End_Use_Residential_Coal-PJ,End_Use_Residential_Coal_Cook
End_Use_Residential_Coal-PJ,End_Use_Residential_Coal_Heat
End_Use_Residential_HLF-PJ,End_Use_Residential_HLF
End_Use_Residential_LLF-PJ,End_Use_Residential_LLF
End_Use_Residential_NatGas-PJ,End_Use_Residential_NatGas
End_Use_Services_Bio_Trad-PJ,End_Use_Services_Bio_Trad_Heat
End_Use_Services_Coal-PJ,End_Use_Services_Coal_Heat
End_Use_Transport_Coal-PJ,End_Use_Transport_Coal
End_Use_Transport_HLF-PJ,End_Use_Transport_AGR_HLF
End_Use_Transport_HLF-PJ,End_Use_Transport_HDT_HLF
End_Use_Transport_HLF-PJ,End_Use_Transport_LDT_HLF
End_Use_Transport_HLF-PJ,End_Use_Transport_OFF_HLF
End_Use_Transport_LLF-PJ,End_Use_Transport_HDT_LLF
End_Use_Transport_LLF-PJ,End_Use_Transport_LDT_LLF
End_Use_Transport_LLF-PJ,End_Use_Transport_MC_LLF
End_Use_Transport_LLF-PJ,End_Use_Transport_OFF_LLF
End_Use_Transport_NatGas-PJ,End_Use_Transport_NatGas
Losses_Coal-Mt,Losses_Coal
Losses_Vent_Flare-PJ,Losses_Distribution_Use
Losses_Vent_Flare-PJ,Losses_Prod_Conventional_Gas
Losses_Vent_Flare-PJ,Losses_Prod_Oil
Losses_Vent_Flare-PJ,Losses_Prod_Shale_Gas
NACID-Mt,NACID
PAPER-Mt,PAPER
Power_Gen_Bio_Trad-PJ,Power_Gen_Bio_Trad_New
Power_Gen_Bio_Trad-PJ,Power_Gen_Bio_Trad_Old
Power_Gen_Coal-PJ,Power_Gen_Coal_IGCC_CCS
Power_Gen_Coal-PJ,Power_Gen_Coal_New
Power_Gen_Coal-PJ,Power_Gen_Coal_Old
Power_Gen_HLF-PJ,Power_Gen_HLF
Power_Gen_LLF-PJ,Power_Gen_LLF
Power_Gen_NatGas-PJ,Power_Gen_NatGas
STEEL-Mt,STEEL
Transformations_Coal-PJ,Transformations_Coal
Transformations_HLF-PJ,Transformations_HLF
Transformations_HLF_Refinery-Mt,Transformations_HLF_Refinery
Transformations_LLF-PJ,Transformations_LLF
Transformations_NatGas-PJ,Transformations_NatGas
Blank,Unattributed
Blank,Waste_Solid_Industrial
Blank,Waste_Solid_Municipal
Blank,Waste_Water_Industrial
Blank,Waste_Water_Municipal
